Unnamed: 0,g__,g__AF12,g__Acidaminococcus,g__Acidocella,g__Acinetobacter,g__Actinobacillus,g__Actinomyces,g__Adlercreutzia,g__Aggregatibacter,g__Agrobacterium,g__Akkermansia,g__Allobaculum,g__Alloscardovia,g__Anaerofustis,g__Anaerostipes,g__Anaerotruncus,g__Atopobium,g__Bacillus,g__Bacteroides,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Bradyrhizobium,g__Bulleidia,g__Burkholderia,g__Butyricimonas,g__CF231,g__Campylobacter,g__Cardiobacterium,g__Christensenella,g__Chryseobacterium,g__Citrobacter,g__Clostridium,g__Collinsella,g__Conchiformibius,g__Coprobacillus,g__Coprococcus,g__Corynebacterium,g__Cryocola,g__Desulfovibrio,g__Dialister,g__Dietzia,g__Dorea,g__Dysgonomonas,g__Eggerthella,g__Eikenella,g__Enterobacter,g__Enterococcus,g__Epulopiscium,g__Erwinia,g__Faecalibacterium,g__Flexispira,g__Fusobacterium,g__Granulicatella,g__Haemophilus,g__Helicobacter,g__Holdemania,g__Hydrogenophaga,g__Klebsiella,g__Lachnobacterium,g__Lachnospira,g__Lactobacillus,g__Lactococcus,g__Lautropia,g__Leptotrichia,g__Leuconostoc,g__Megasphaera,g__Methanobrevibacter,g__Morganella,g__Moryella,g__Mucispirillum,g__Neisseria,g__Odoribacter,g__Oribacterium,g__Oscillospira,g__Oxalobacter,g__Paenibacillus,g__Parabacteroides,g__Paraprevotella,g__Parvimonas,g__Pediococcus,g__Peptococcus,g__Peptoniphilus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Proteus,g__Pseudomonas,g__Ralstonia,g__Roseburia,g__Rothia,g__Ruminococcus,g__Selenomonas,g__Serratia,g__Staphylococcus,g__Streptococcus,g__Sutterella,g__Treponema,g__Turicibacter,g__Vagococcus,g__Variovorax,g__Veillonella,g__WAL_1855D,g__YRC22,g__cc_115,g__ph2,g__[Eubacterium],g__[Prevotella],g__[Ruminococcus]
CSM5FZ3Z,1698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,4035,0,0,0,0,0,0,0,0,0,0,0,0
MSM5FZ9N,6788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,15222,149,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,9,435,15686,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,10,0,0,0,0,19036,0,0,0,0,0,0,0,0,0,2,0,59
ESM5GEZA,57,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,323,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,76,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
HSM5FZBQ,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,4,0,8,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,822,0,0,0,0,0,1,0,0,0,3,20,0,0,0,0,25,0,0,0,0,0,0,0
HSM5MD3L,737,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,379,58,71,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,18,0,0,0,95,0,68,0,1,0,0,0,0,0,175,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,46,0,0,0,20,395,0,0,0,0,5,0,0,0,0,0,0,32
ESM5MEE2,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3460,0,0,0,147,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,6
MSM5LLGT,3683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,58,19,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,2856,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,1481,0,0,11,0,0,0,0,0,0,0,0,0,0,0,830,0,21,0,0,0,0,1936,0,0,0,0,0,0,0,0,0,0,0,53
MSM5LLFS,3645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,7747,0,0,0,0,0,0,0,0,3901,361,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529,0,247,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,174
MSM5FZ9Q,42137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,2745,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,373,0,0,0,0,36942,0,0,0,0,0,0,0,0,0,0,0,1640
HSM5FZBT,8031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,3660,0,0,0,0,0,0,0,0,0,0,0,48
CSM5MCVZ,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0
CSM5FZ4I,439,0,0,0,0,0,3,5,0,1,60,94,0,0,0,0,2,0,37,41,3,21,3,0,0,3,0,3,0,0,0,0,1,1,0,0,18,6,0,0,3,0,2,0,0,0,0,0,0,0,19,0,3,0,13,0,0,0,0,0,2,38,7,5,11,0,0,24,0,0,0,7,0,0,14,0,0,0,6,0,0,0,0,6,0,23,7,0,921,2,4,61,0,0,0,60,0,7,9,0,0,7,0,0,0,0,0,7,6
MSM5LLE5,6724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,100,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,37446,0,18,0,0,0,0,0,0,0,4,0,103
CSM5FZ3X,10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18949,0,0,0,0,0,0,0,0,0,0,0,0
CSM5FZ3N,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,29,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2132,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
ESM5GEZ8,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,95,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,3946,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,58,0,0,7,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,4643,0,0,0,0,0,0,0,0,0,0,0,0
ESM5MEEB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
