Unnamed: 0;o__Actinomycetales;o__Bacillales;o__Bacteroidales;o__Bifidobacteriales;o__Burkholderiales;o__Campylobacterales;o__Cardiobacteriales;o__Clostridiales;o__Coriobacteriales;o__Deferribacterales;o__Desulfovibrionales;o__Enterobacteriales;o__Erysipelotrichales;o__Flavobacteriales;o__Fusobacteriales;o__Gemellales;o__Lactobacillales;o__Methanobacteriales;o__Neisseriales;o__Pasteurellales;o__Pseudomonadales;o__RF32;o__RF39;o__Rhizobiales;o__Rhodospirillales;o__Spirochaetales;o__Streptophyta;o__Turicibacterales;o__Verrucomicrobiales;o__Victivallales;o__Xanthomonadales;o__YS2
CSM5FZ4O;0.0;0.0;0.42494996664442963;0.0;0.04336224149432955;0.0;0.0;0.32621747831887926;0.0;0.0;0.0;0.2028018679119413;0.00266844563042028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSM5MD7Z;0.0;0.0;0.7309417040358744;0.013452914798206279;0.008968609865470852;0.0;0.0;0.22869955156950672;0.0;0.0;0.0;0.008968609865470852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008968609865470852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSM5MCVB;0.0;0.0;0.039796954314720814;0.00027072758037225043;0.08602368866328257;0.0;0.0;0.02253807106598985;0.0;0.0;0.0;0.85082910321489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005414551607445009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSM5FZ46;0.0;0.0;0.055118935345279264;0.0;0.7659017080582626;0.0;0.0;0.07083726291522582;0.0;0.0;0.0;0.10814209368123232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLIQ;0.0;0.00028581227849548414;0.018577798102206472;0.00028581227849548414;0.07711215273808163;0.0;0.0;0.7442551732022408;0.0;0.0;0.000342974734194581;0.08791585686521093;0.0005144621012918715;0.0;0.0001714873670972905;0.0;0.0;0.0;0.0;0.018577798102206472;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.051960672230479024;0.0;0.0;0.0;0.0
MSM5FZ8Y;0.0;0.00042995622263914947;0.011061601000625391;0.0;0.0;0.0011726078799249532;0.0;0.6456378986866792;0.0;0.0;0.0;0.1690509693558474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01700281425891182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005863039399624766;0.15505784865540964;0.0;0.0;0.0
ESM5MEDZ;0.0;0.0;0.02081967213114754;0.0;0.026721311475409838;0.0;0.0;0.9173770491803279;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0014754098360655738;0.03360655737704918;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLIE;0.0;0.0;0.06835443037974684;0.0;0.20759493670886076;0.0;0.0;0.7211737629459148;0.0;0.0;0.0018411967779056386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010356731875719217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSM5MCVD;0.0;0.0;0.9047619047619048;0.0;0.0;0.0;0.0;0.047619047619047616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047619047619047616
CSM5FZ4G;0.0;0.0;0.011514510633298084;0.0;0.0;0.0;0.0;0.9884854893667019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
