Unnamed: 0;f__;f__Acetobacteraceae;f__Actinomycetaceae;f__Alcaligenaceae;f__Bacillaceae;f__Bacteroidaceae;f__Barnesiellaceae;f__Bifidobacteriaceae;f__Bradyrhizobiaceae;f__Burkholderiaceae;f__Campylobacteraceae;f__Cardiobacteriaceae;f__Carnobacteriaceae;f__Christensenellaceae;f__Clostridiaceae;f__Comamonadaceae;f__Coriobacteriaceae;f__Corynebacteriaceae;f__Deferribacteraceae;f__Desulfovibrionaceae;f__Dietziaceae;f__Enterobacteriaceae;f__Enterococcaceae;f__Erysipelotrichaceae;f__Eubacteriaceae;f__Fusobacteriaceae;f__Gemellaceae;f__Helicobacteraceae;f__Lachnospiraceae;f__Lactobacillaceae;f__Leptotrichiaceae;f__Leuconostocaceae;f__Methanobacteriaceae;f__Microbacteriaceae;f__Micrococcaceae;f__Mogibacteriaceae;f__Moraxellaceae;f__Neisseriaceae;f__Odoribacteraceae;f__Oxalobacteraceae;f__Paenibacillaceae;f__Paraprevotellaceae;f__Pasteurellaceae;f__Peptococcaceae;f__Peptostreptococcaceae;f__Planococcaceae;f__Porphyromonadaceae;f__Prevotellaceae;f__Pseudomonadaceae;f__Rhizobiaceae;f__Rikenellaceae;f__Ruminococcaceae;f__S24-7;f__Sinobacteraceae;f__Spirochaetaceae;f__Staphylococcaceae;f__Streptococcaceae;f__Tissierellaceae;f__Turicibacteraceae;f__Veillonellaceae;f__Verrucomicrobiaceae;f__Victivallaceae;f__Weeksellaceae;f__Xanthomonadaceae
MSM5FZ9S;0.031022644956064375;0.0;0.0;0.29265219993071084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0036219331674592924;0.0034014676703095965;0.0;0.0;0.0;0.0;0.0;0.0;0.47234732764322385;0.0;0.0;0.0;0.0;0.0;0.0;0.13761771282794244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008661144530880918;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058076910963434224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003936883877673144;0.0;0.0;0.0;0.0
HSM5MD7W;0.025279247501469725;0.0;0.0;0.041740152851263965;0.0;0.022339800117577895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058788947677836566;0.0;0.0;0.0;0.0;0.0;0.0;0.10170487948265726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025279247501469725;0.0;0.0;0.0;0.007642563198118754;0.328042328042328;0.0;0.0;0.0;0.38918283362727807;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSM5MD4C;0.10046265697290152;0.0;0.0;0.0;0.0;0.0;0.0;0.006609385327164574;0.0;0.0;0.0;0.0;0.0;0.005948446794448116;0.0;0.004626569729015202;0.03965631196298744;0.0;0.0;0.00991407799074686;0.0;0.16391275611368142;0.00991407799074686;0.02775941837409121;0.0;0.0;0.0;0.0;0.15730337078651685;0.0403172504957039;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019167217448777262;0.0;0.0;0.0;0.027098479841374753;0.16391275611368142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1361533377395902;0.018506278916060808;0.0;0.0;0.0019828155981493722;0.0;0.0;0.0;0.0;0.0667547918043622;0.0;0.0;0.0
MSM5LLFK;0.32115448782115447;0.0;0.0;0.0017517517517517517;0.0;0.030113446780113448;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0029195862529195864;0.0;0.0;0.0;0.0;0.0;0.0;0.09876543209876543;0.0;0.0001668335001668335;0.0;0.0;0.0;0.0;0.1698365031698365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09843176509843177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.275025025025025;0.0;0.0;0.0;0.0;0.0;0.0;0.0018351685018351686;0.0;0.0;0.0;0.0;0.0
MSM5LLIC;0.07565479555304315;0.0;0.0;0.24853966459393254;0.0;0.00942151874882231;0.0004710759374411155;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.0;0.0016016581872997928;0.0;0.0;0.0;0.0;0.000942151874882231;0.0;0.004428113811946486;0.0;0.0;0.0;0.0;0.0;0.0;0.2811381194648577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002920670812134916;0.00791407574901074;0.0;0.0;0.04597701149425287;0.0007537214999057848;0.0;0.0;0.0001884303749764462;0.0;0.0;0.0;0.013284341435839458;0.2817034105897871;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0052760504993404934;0.006783493499152063;0.0015074429998115696;0.0;0.0
MSM5LLGJ;0.03773584905660377;0.0;0.0;0.0;0.0;0.39622641509433965;0.0;0.018867924528301886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1320754716981132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018867924528301886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39622641509433965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLIK;0.1256179775280899;0.0;0.0;0.0;0.0;0.02943820224719101;0.0;0.0008988764044943821;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009887640449438202;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21056179775280898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006292134831460674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0020224719101123597;0.0;0.0;0.0;0.0;0.6152808988764045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSM5MD3W;0.05630026809651475;0.0;0.0;0.002680965147453083;0.0;0.01876675603217158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002680965147453083;0.0;0.002680965147453083;0.0;0.0;0.05093833780160858;0.0;0.0;0.0;0.005361930294906166;0.0;0.0;0.0;0.0;0.19302949061662197;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00804289544235925;0.0;0.0;0.0;0.0;0.005361930294906166;0.0160857908847185;0.0;0.0;0.05361930294906166;0.10187667560321716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02680965147453083;0.45576407506702415;0.0;0.0;0.0
MSM5LLGV;0.033401967513154884;0.0;0.0;0.023030580340120493;0.0;0.020285213147258445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006100815984137879;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07626019980172348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004575611988103409;0.0;0.0;0.0;0.0008388621978189583;0.0;0.0;0.0;0.0;0.8451155342026996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLFU;0.2632331902718169;0.0;0.0;0.0;0.0;0.1167381974248927;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007439198855507869;0.0;0.0;0.0;0.0;0.0;0.0;0.31015736766809726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.060085836909871244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24234620886981403;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
