Unnamed: 0;o__;o__32-20;o__ASSO-13;o__Acholeplasmatales;o__Acidimicrobiales;o__Acidobacteriales;o__Actinomycetales;o__Aeromonadales;o__Alteromonadales;o__Armatimonadales;o__BD7-3;o__Bacillales;o__Bacteroidales;o__Bifidobacteriales;o__Burkholderiales;o__CW040;o__Campylobacterales;o__Cardiobacteriales;o__Caulobacterales;o__Cerasicoccales;o__Chlorophyta;o__Chromatiales;o__Clostridiales;o__Coriobacteriales;o__Cytophagales;o__DS-18;o__Deinococcales;o__Desulfobacterales;o__Desulfovibrionales;o__Desulfuromonadales;o__EW055;o__Ellin329;o__Ellin6067;o__Ellin6513;o__Enterobacteriales;o__Erysipelotrichales;o__Flavobacteriales;o__Fusobacteriales;o__Gaiellales;o__Gemellales;o__Gemmatales;o__Herpetosiphonales;o__I025;o__JG30-KF-CM45;o__LD1-PA13;o__Lactobacillales;o__ML615J-28;o__MLE1-12;o__MND1;o__Methylophilales;o__Mycoplasmatales;o__Myxococcales;o__NB1-j;o__Natranaerobiales;o__Neisseriales;o__Nitrospirales;o__Nostocales;o__Oceanospirillales;o__Opitutales;o__Oscillatoriales;o__PYR10d3;o__Pasteurellales;o__Pedosphaerales;o__Pirellulales;o__Planctomycetales;o__Pseudomonadales;o__RB41;o__RF32;o__RF39;o__Rhizobiales;o__Rhodobacterales;o__Rhodocyclales;o__Rhodospirillales;o__Rickettsiales;o__SC-I-84;o__SHA-98;o__SJA-15;o__SJA-36;o__Saprospirales;o__Sediment-1;o__Solibacterales;o__Solirubrobacterales;o__Sphingobacteriales;o__Sphingomonadales;o__Spirochaetales;o__Stramenopiles;o__Streptophyta;o__Synechococcales;o__Synergistales;o__Syntrophobacterales;o__Thermales;o__Thiotrichales;o__Turicibacterales;o__Verrucomicrobiales;o__Vibrionales;o__Victivallales;o__WCHB1-41;o__WD2101;o__Xanthomonadales;o__YS2;o__envOPS12;o__iii1-15
EP129845_K100_BS1D;0.0;0.0;0.0;0.0;0.0;0.0;0.00045517095374192866;0.0;0.0;0.0;0.0;0.0;0.004033026357573833;0.0;0.0014078543452948026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001915952154123002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9853710172541548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019053667831057478;0.0;0.0;0.0059172223986450724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006774637451042659;0.0;0.0;0.0;2.117074203450831e-05;0.0;0.0;0.0;1.0585371017254155e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP036702_K60_BRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.02857142857142857;0.0;0.0;0.0;0.0;0.0;0.02857142857142857;0.05714285714285714;0.0;0.0;0.02857142857142857;0.0;0.0;0.0;0.0;0.0;0.02857142857142857;0.02857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45714285714285713;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34285714285714286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP230041_K10_MRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.0049504950495049506;0.0;0.0;0.0;0.0;0.0;0.009900990099009901;0.1617161716171617;0.0016501650165016502;0.0;0.0594059405940594;0.0;0.0;0.0;0.0;0.0;0.23432343234323433;0.13861386138613863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09075907590759076;0.0;0.0;0.0033003300330033004;0.0;0.0016501650165016502;0.0;0.0;0.0016501650165016502;0.0;0.0;0.07755775577557755;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013201320132013201;0.0;0.0;0.0;0.20132013201320131;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP175511_K20_BRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.02564102564102564;0.0;0.0;0.008547008547008548;0.0;0.0;0.0;0.0;0.0;0.042735042735042736;0.008547008547008548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017094017094017096;0.0;0.0;0.017094017094017096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8461538461538461;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008547008547008548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP841683_K110_BS1D;0.0;0.0;0.0;0.0;0.0;0.0;4.8872815163013054e-05;0.0;0.0;0.0;0.0;0.0;0.2406763997618561;4.44298319663755e-06;4.44298319663755e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06867074828722998;8.8859663932751e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6898842158578956;0.0;0.0;0.0;0.0;4.44298319663755e-06;0.0;0.0;0.0;0.0;0.0;0.0006931053786754578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.44298319663755e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP211731_K40_BRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.06944444444444445;0.0;0.0;0.0;0.0;0.0;0.034722222222222224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2361111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2152777777777778;0.0;0.0;0.2708333333333333;0.0;0.006944444444444444;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP575820_K60_BS1D;0.0;0.0;0.0;0.0;0.0;0.0;3.8464497269020696e-05;0.0;0.0;0.0;0.0;0.0;0.0036925917378259868;0.008462189399184552;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004615739672282483;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9825755827371336;0.0;0.0;3.8464497269020696e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00046157396722824835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8464497269020696e-05;0.0;0.0;0.0;0.0;0.0;0.0;7.692899453804139e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP066677_K50_BRCD;0.0;0.0;0.0;0.0;0.0;0.0;4.2471411431180385e-05;0.0;0.0;0.0;0.0;8.494282286236077e-05;0.0016988564572472155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00010617852857795097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9974304796084136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00021235705715590193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00015926779286692646;0.0;0.0;0.0;2.1235705715590193e-05;0.0;0.0;0.0;0.00024421061572928724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP604653_K30_MRCD;0.0;0.0;0.0;0.0;0.0;0.0;0.17315827222295407;0.0;0.0;0.0;0.0;0.0001610093824558322;0.344545441238894;0.00011709773269515069;0.03630029713549671;0.0;0.05999795078967784;0.0;0.0;0.0;0.0;0.0;0.37156574305830004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0061915426162560926;0.0;0.0;0.0007757724791053733;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007157598910991086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9274433173787673e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EP754016_K20_BS1D;0.0;0.0;0.0;0.0;0.0;0.0;0.0008149959250203749;0.0;0.0;0.0;0.0;0.0008149959250203749;0.4221678891605542;0.0;0.0008149959250203749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5639771801140995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010594947025264874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008149959250203749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
