Unnamed: 0,f__,f__0319-6A21,f__Acetobacteraceae,f__Acholeplasmataceae,f__Acidobacteriaceae,f__Actinomycetaceae,f__Actinosynnemataceae,f__Aerococcaceae,f__Aeromonadaceae,f__Alcaligenaceae,f__Alcanivoracaceae,f__Alicyclobacillaceae,f__Alteromonadaceae,f__Armatimonadaceae,f__BS11,f__Bacillaceae,f__Bacteroidaceae,f__Bartonellaceae,f__Beijerinckiaceae,f__Beutenbergiaceae,f__Bifidobacteriaceae,f__Bogoriellaceae,f__Bradyrhizobiaceae,f__Brevibacteriaceae,f__Brucellaceae,f__Burkholderiaceae,f__C111,f__Campylobacteraceae,f__Cardiobacteriaceae,f__Carnobacteriaceae,f__Caulobacteraceae,f__Cellulomonadaceae,f__Chitinophagaceae,f__Christensenellaceae,f__Clostridiaceae,f__Comamonadaceae,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Cryomorphaceae,f__Cytophagaceae,f__Dehalobacteriaceae,f__Dermabacteraceae,f__Desulfobulbaceae,f__Desulfovibrionaceae,f__Dethiosulfovibrionaceae,f__Dietziaceae,f__EB1017,f__Ectothiorhodospiraceae,f__Ellin6075,f__Enterobacteriaceae,f__Enterococcaceae,f__Erysipelotrichaceae,f__Erythrobacteraceae,f__EtOH8,f__Eubacteriaceae,f__F16,f__Flavobacteriaceae,f__Fusobacteriaceae,f__Gaiellaceae,f__Gemellaceae,f__Geobacteraceae,f__Geodermatophilaceae,f__Halomonadaceae,f__Helicobacteraceae,f__Hyphomicrobiaceae,f__Hyphomonadaceae,f__Intrasporangiaceae,f__Isosphaeraceae,f__Koribacteraceae,f__Lachnospiraceae,f__Lactobacillaceae,f__Leptotrichiaceae,f__Leuconostocaceae,f__Listeriaceae,f__ML1228J-1,f__Methylobacteriaceae,f__Methylocystaceae,f__Methylophilaceae,f__Microbacteriaceae,f__Micrococcaceae,f__Micromonosporaceae,f__Moraxellaceae,f__Mycobacteriaceae,f__Mycoplasmataceae,f__Myxococcaceae,f__NB1-i,f__Neisseriaceae,f__Nitrospiraceae,f__Nocardiaceae,f__Nocardioidaceae,f__Nocardiopsaceae,f__Nostocaceae,f__OM27,f__Opitutaceae,f__Oxalobacteraceae,f__PRR-10,f__Paenibacillaceae,f__Pasteurellaceae,f__Patulibacteraceae,f__Peptococcaceae,f__Peptostreptococcaceae,f__Phormidiaceae,f__Phyllobacteriaceae,f__Pirellulaceae,f__Piscirickettsiaceae,f__Planctomycetaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Prevotellaceae,f__Promicromonosporaceae,f__Propionibacteriaceae,f__Pseudomonadaceae,f__Pseudonocardiaceae,f__RF16,f__RFP12,f__Rhizobiaceae,f__Rhodobacteraceae,f__Rhodocyclaceae,f__Rhodospirillaceae,f__Rickettsiaceae,f__Rikenellaceae,f__Rs-045,f__Ruminococcaceae,f__S24-7,f__SB-1,f__Sinobacteraceae,f__Sphingobacteriaceae,f__Sphingomonadaceae,f__Spirochaetaceae,f__Staphylococcaceae,f__Streptococcaceae,f__Streptomycetaceae,f__Streptosporangiaceae,f__Succinivibrionaceae,f__Synechococcaceae,f__Synergistaceae,f__Syntrophobacteraceae,f__Thermaceae,f__Thermoactinomycetaceae,f__Trueperaceae,f__Turicibacteraceae,f__Veillonellaceae,f__Verrucomicrobiaceae,f__Vibrionaceae,f__Victivallaceae,f__Xanthobacteraceae,f__Xanthomonadaceae,f__Yaniellaceae,f__mitochondria,f__[Barnesiellaceae],f__[Cerasicoccaceae],f__[Chromatiaceae],f__[Exiguobacteraceae],f__[Mogibacteriaceae],f__[Odoribacteraceae],f__[Paraprevotellaceae],f__[Tissierellaceae],f__[Weeksellaceae]
EP824738_K40_MRCD,144,0,0,0,0,192,0,0,0,1662,0,0,0,0,0,0,879,0,0,0,3054,0,0,1,0,1,0,2326,0,0,0,0,0,0,237,0,901,39,0,0,0,0,0,41,34,0,0,0,0,399,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,495,1352,8,0,0,0,8,0,0,0,2,0,26,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,0,19,0,0,0,0,0,0,344,12210,0,0,0,0,0,0,0,0,0,0,0,143,0,1755,58,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,55,2472,16,0,0,0,18,0,0,0,0,0,0,0,0,0,1647,0
EP059416_K40_MRCD,13,0,0,0,0,76,0,0,0,12,0,0,0,0,0,0,408,0,0,0,132,0,0,0,0,0,0,771,0,0,0,0,0,0,36,0,54,2318,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,0,0,0,0,0,0,0,0,0,0,0,2125,36,109,0,0,0,211,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,418,0,0,0,0,0,60,122,9707,0,0,0,0,0,0,0,0,0,0,0,1,0,119,2,0,0,0,0,0,0,1029,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4771,0
EP542437_K20_MRCD,859,0,0,0,0,30,0,0,0,1012,0,0,0,0,0,0,7409,0,0,0,178,0,1,0,0,3,0,3878,0,18,0,0,0,3,88,0,116,0,0,0,0,0,0,77,0,0,0,0,0,193,5,1023,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1820,48,2,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,447,24481,0,0,0,0,0,0,0,0,0,0,0,204,0,6162,6,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,1500,4,0,0,0,0,0,0,0,0,0,0,12,27,78,900,0
EP663711_K50_MRCD,1770,0,5,0,0,305,0,0,0,1049,0,0,0,0,0,0,5142,0,0,0,333,0,0,0,0,0,0,1460,0,0,0,0,0,2,969,0,344,9,0,0,0,0,0,802,9,0,0,0,0,310,0,202,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1752,17,115,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,477,16838,0,0,0,0,0,0,0,0,0,0,0,261,0,6230,28,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,10,1220,0,0,0,0,0,0,0,19,0,0,0,11,32,1886,470,2
EP082756_K30_MRCD,445,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,285,0,0,0,1947,0,0,0,0,0,0,294,0,101,0,0,0,0,1,0,3098,45641,0,0,0,2087,0,0,0,0,0,0,0,0,169,215,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,910,11372,1,0,0,0,91,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,240,33,2010,0,0,0,0,0,0,0,0,0,0,0,89,0,222,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2030,0
EP223167_K50_MRCD,808,0,0,0,0,33,0,39,0,4254,0,0,0,0,0,1,16430,0,0,0,659,0,0,148,0,0,0,981,0,0,0,0,0,1,349,0,161,1914,0,0,0,2,0,245,0,0,0,0,0,1364,30,1579,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,1920,2480,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,240,0,0,0,0,0,61,1022,28905,0,61,0,0,0,0,0,0,0,0,0,1194,0,13684,0,0,0,0,0,0,1,599,0,0,0,0,0,0,0,0,0,0,9195,0,0,0,0,0,0,0,0,0,0,0,158,0,0,1351,1
EP273248_K10_MRCD,163,0,0,0,0,33,0,0,0,5,0,0,0,0,0,0,3653,0,0,0,72,0,0,0,0,0,0,609,0,0,0,0,0,0,49,0,308,18,0,0,0,0,0,0,0,0,0,0,0,9,4,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,3618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,208,6,0,0,0,0,0,0,0,0,0,0,0,315,0,3535,454,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1993,0,0,0,0,0,0,0,17,0,0,0,35,40,42,534,0
EP584156_K310_BRCD,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106771,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP563046_K20_MRCD,10651,0,0,0,0,14,0,1,0,375,0,0,0,0,0,0,6212,0,0,0,104,0,0,0,0,9,0,263,0,1,0,0,0,452,653,0,943,6,0,0,0,0,0,653,15,0,0,0,0,85,0,857,0,0,4,0,0,19,0,2,0,0,0,0,0,0,0,0,0,1155,1264,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,13,0,0,45,0,0,0,0,0,0,435,30897,0,0,0,0,0,0,0,0,0,0,0,503,0,11999,40,0,0,0,0,1,0,71,0,0,0,0,0,0,0,0,0,13,3888,7,0,22,0,0,0,0,145,0,0,0,29,138,20,448,0
EP843963_K90_BRCD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,74,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0
